39750;14
39750;10
39750;9
39750;9
39750;9
39750;9
39750;9
39750;9
39750;9
39750;9
397500;113
397500;116
397500;118
397500;121
397500;119
397500;120
397500;122
397500;120
397500;117
397500;116
198750;63
198750;62
198750;60
198750;63
198750;59
198750;60
198750;62
198750;63
198750;60
198750;62
132500;41
132500;40
132500;41
132500;40
132500;40
132500;42
132500;42
132500;39
132500;40
132500;38
99375;30
99375;22
99375;22
99375;22
99375;22
99375;22
99375;22
99375;22
99375;22
99375;22
79500;18
79500;18
79500;18
79500;17
79500;18
79500;18
79500;18
79500;17
79500;18
79500;17
66250;15
66250;15
66250;31
66250;15
66250;15
66250;15
66250;14
66250;15
66250;14
66250;15
56786;13
56786;12
56786;13
56786;13
56786;12
56786;12
56786;12
56786;12
56786;13
56786;12
49687;11
49687;11
49687;11
49687;11
49687;12
49687;7
49687;7
49687;6
49687;5
49687;5
44167;4
44167;4
44167;5
44167;5
44167;5
44167;5
44167;5
44167;5
44167;5
44167;5
